"Wavelength, µm","n","k"
0.3,1.596,1.888
0.31,1.649,1.895
0.32,1.685,1.881
0.33,1.701,1.858
0.34,1.695,1.835
0.35,1.671,1.821
0.36,1.637,1.825
0.37,1.606,1.846
0.38,1.588,1.877
0.39,1.585,1.904
0.4,1.588,1.915
0.41,1.585,1.911
0.42,1.567,1.898
0.43,1.537,1.887
0.44,1.505,1.877
0.45,1.472,1.855
0.46,1.422,1.812
0.47,1.333,1.758
0.48,1.193,1.716
0.49,1.011,1.72
0.5,0.8197,1.787
0.51,0.6527,1.908
0.52,0.5263,2.058
0.53,0.4363,2.213
0.54,0.3724,2.364
0.55,0.3256,2.507
0.56,0.2899,2.641
0.57,0.2617,2.769
0.58,0.2388,2.891
0.59,0.2199,3.009
0.6,0.2041,3.122
0.61,0.1908,3.232
0.62,0.1794,3.34
0.63,0.1698,3.444
0.64,0.1616,3.547
0.65,0.1546,3.647
0.66,0.1487,3.746
0.67,0.1436,3.843
0.68,0.1394,3.938
0.69,0.1358,4.033
0.7,0.1328,4.126
0.71,0.1304,4.217
0.72,0.1284,4.308
0.73,0.1268,4.398
0.74,0.1257,4.487
0.75,0.1248,4.575
0.76,0.1242,4.662
0.77,0.1239,4.749
0.78,0.1239,4.834
0.79,0.124,4.92
0.8,0.1244,5.004
0.81,0.1249,5.088
0.82,0.1256,5.172
0.83,0.1265,5.255
0.84,0.1275,5.338
0.85,0.1286,5.42
0.86,0.1298,5.501
0.87,0.1312,5.583
0.88,0.1326,5.664
0.89,0.1342,5.745
0.9,0.1358,5.825
0.91,0.1375,5.905
0.92,0.1393,5.985
0.93,0.1412,6.064
0.94,0.1431,6.143
0.95,0.1451,6.222
0.96,0.1471,6.301
0.97,0.1493,6.379
0.98,0.1514,6.457
0.99,0.1536,6.535
1,0.1559,6.613
1.01,0.1582,6.69
1.02,0.1606,6.768
1.03,0.163,6.845
1.04,0.1655,6.922
1.05,0.168,6.999
1.06,0.1705,7.075
1.07,0.1731,7.152
1.08,0.1757,7.228
1.09,0.1783,7.304
1.1,0.181,7.38
1.11,0.1837,7.456
1.12,0.1865,7.532
1.13,0.1893,7.608
1.14,0.1921,7.683
1.15,0.1949,7.759
1.16,0.1978,7.834
1.17,0.2007,7.909
1.18,0.2036,7.984
1.19,0.2066,8.059
1.2,0.2096,8.134
1.21,0.2126,8.208
1.22,0.2157,8.283
1.23,0.2187,8.358
1.24,0.2218,8.432
1.25,0.225,8.506
1.26,0.2281,8.581
1.27,0.2313,8.655
1.28,0.2342,8.725
1.29,0.2371,8.795
1.3,0.24,8.865
1.31,0.243,8.935
1.32,0.246,9.005
1.33,0.249,9.075
1.34,0.252,9.145
1.35,0.2551,9.214
1.43,0.2824,9.796
1.44,0.2857,9.865
1.45,0.2889,9.934
1.46,0.2922,10
1.47,0.2955,10.07
1.48,0.2988,10.14
1.49,0.3021,10.21
1.5,0.3055,10.28
1.51,0.3089,10.35
1.52,0.3123,10.41
1.53,0.3157,10.48
1.54,0.3191,10.55
1.55,0.3226,10.62
1.56,0.326,10.69
1.57,0.3295,10.76
1.58,0.3331,10.82
1.59,0.3366,10.89
1.6,0.3402,10.96
1.61,0.3437,11.03
1.62,0.3474,11.1
1.63,0.351,11.16
1.64,0.3546,11.23
1.65,0.3583,11.3
1.66,0.362,11.37
1.67,0.3657,11.44
1.68,0.3695,11.5
1.69,0.3732,11.57
1.7,0.377,11.64
1.71,0.3808,11.71
1.72,0.3847,11.77
1.73,0.3885,11.84
1.74,0.3924,11.91
1.75,0.3963,11.98
1.76,0.4003,12.04
1.77,0.4042,12.11
1.78,0.4082,12.18
1.79,0.4123,12.25
1.8,0.4163,12.31
1.81,0.4204,12.38
1.82,0.4245,12.45
1.83,0.4286,12.52
1.84,0.4328,12.58
1.85,0.4369,12.65
1.86,0.4412,12.72
1.87,0.4454,12.78
1.88,0.4497,12.85
1.89,0.454,12.92
1.9,0.4583,12.99
1.91,0.4627,13.05
1.92,0.4671,13.12
1.93,0.4715,13.19
1.94,0.476,13.25
1.95,0.4805,13.32
1.96,0.4851,13.39
1.97,0.4896,13.46
1.98,0.4942,13.52
1.99,0.4989,13.59
2,0.5031,13.65
2.007,0.5068,13.7
2.019,0.5129,13.79
2.025,0.516,13.84
2.038,0.5224,13.93
2.045,0.5256,13.97
2.058,0.5321,14.06
2.064,0.5354,14.11
2.077,0.5421,14.2
2.084,0.5455,14.25
2.098,0.5524,14.35
2.104,0.5559,14.39
2.118,0.563,14.49
2.125,0.5666,14.54
2.139,0.5739,14.64
2.146,0.5776,14.69
2.153,0.5814,14.74
2.168,0.589,14.84
2.175,0.5929,14.89
2.19,0.6007,15
2.197,0.6047,15.05
2.205,0.6087,15.1
2.22,0.6168,15.21
2.227,0.621,15.26
2.235,0.6252,15.32
2.243,0.6294,15.37
2.258,0.638,15.48
2.266,0.6423,15.54
2.274,0.6468,15.59
2.282,0.6512,15.65
2.298,0.6603,15.76
2.307,0.6649,15.82
2.315,0.6695,15.88
2.323,0.6742,15.94
2.34,0.6837,16.06
2.348,0.6886,16.11
2.357,0.6935,16.17
2.365,0.6984,16.24
2.374,0.7034,16.3
2.383,0.7085,16.36
2.392,0.7136,16.42
2.409,0.724,16.54
2.418,0.7293,16.61
